doc_title,negative,positive,net_sentiment_raw,tfidf_positive,tfidf_negative,net_sentiment_tfidf
Circle of Commerce,422,489,67,0.008335720025235237,0.011541766188787264,-0.0032060461635520267
Free Trade,281,344,63,0.005096670445293714,0.007947350524864784,-0.0028506800795710698
